Date,Counterparty,Instrument_Name,Instrument_Type,Notional_short,Cumulative,Cumulative_20_percent
2020-03-02,Swap Counterparty 5,SPDR S&P 500 ETF Trust,ETF Swap,109962200.00,109962200.00,21992440.00
2020-03-02,Swap Counterparty 5,SPDR S&P 500 ETF Trust,ETF Swap,96450022.50,206412222.50,41282444.50
2020-03-02,Swap Counterparty 6,SPDR S&P 500 ETF Trust,ETF Swap,35737427.41,242149649.91,48429929.98
2020-03-02,Swap Counterparty 6,SPDR S&P 500 ETF Trust,ETF Swap,108079980.59,350229630.50,70045926.10
2020-03-12,Swap Counterparty 3,Invesco QQQ Trust,ETF Swap,139320696.48,489550326.98,97910065.40
2020-03-12,Swap Counterparty 5,Invesco QQQ Trust,ETF Swap,49653967.13,539204294.11,107840858.82
2020-03-12,Swap Counterparty 5,Invesco QQQ Trust,ETF Swap,201132889.88,740337183.99,148067436.80
2020-03-12,Swap Counterparty 5,SPDR S&P 500 ETF Trust,ETF Swap,43379599.41,783716783.40,156743356.68
2020-03-12,Swap Counterparty 5,SPDR S&P 500 ETF Trust,ETF Swap,49538431.43,833255214.83,166651042.97
2020-03-12,Swap Counterparty 5,SPDR S&P 500 ETF Trust,ETF Swap,460815797.50,1294071012.33,258814202.47
2020-03-12,Swap Counterparty 5,SPDR S&P 500 ETF Trust,ETF Swap,42078976.50,1336149988.83,267229997.77
2020-03-12,Swap Counterparty 6,Invesco QQQ Trust,ETF Swap,116368590.07,1452518578.90,290503715.78
2020-03-12,Swap Counterparty 6,Invesco QQQ Trust,ETF Swap,49632891.00,1502151469.90,300430293.98
2020-03-12,Swap Counterparty 6,SPDR S&P 500 ETF Trust,ETF Swap,49550785.73,1551702255.63,310340451.13
2020-03-12,Swap Counterparty 6,SPDR S&P 500 ETF Trust,ETF Swap,174930726.77,1726632982.40,345326596.48
2020-03-17,Swap Counterparty 3,SPDR S&P 500 ETF Trust,ETF Swap,86995518.06,1813628500.46,362725700.09
2020-03-17,Swap Counterparty 3,SPDR S&P 500 ETF Trust,ETF Swap,48963314.16,1862591814.62,372518362.92
2020-03-17,Swap Counterparty 3,SPDR S&P 500 ETF Trust,ETF Swap,66040025.58,1928631840.20,385726368.04
2020-03-17,Swap Counterparty 6,SPDR S&P 500 ETF Trust,ETF Swap,103881099.19,2032512939.39,406502587.88
2020-03-17,Swap Counterparty 6,SPDR S&P 500 ETF Trust,ETF Swap,134753894.08,2167266833.47,433453366.69
2020-03-17,Swap Counterparty 6,SPDR S&P 500 ETF Trust,ETF Swap,55889974.93,2223156808.40,444631361.68
2020-03-17,Swap Counterparty 6,SPDR S&P 500 ETF Trust,ETF Swap,39868016.00,2263024824.40,452604964.88
2020-03-17,Swap Counterparty 8,SPDR S&P 500 ETF Trust,ETF Swap,65316953.00,2328341777.40,465668355.48
2020-03-19,Swap Counterparty 3,SPDR S&P 500 ETF Trust,ETF Swap,92831121.90,2421172899.30,484234579.86
2020-03-19,Swap Counterparty 3,SPDR S&P 500 ETF Trust,ETF Swap,240881169.54,2662054068.84,532410813.77
